42265, 07/02/2014 10:21:48 PM, 3.323, 3.118, 3.214, 3.410, 3.331, 3.351, 3.295, 3.398, -0.064, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.44, 3.317, -273.150, 0, 0, 0, 0, 0, 0x50, 1131517, 1
75950, 07/03/2014 07:37:22 AM, 3.345, 3.144, 3.241, 3.418, 3.351, 3.373, 3.323, 3.411, -0.056, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.606, 3.339, -273.150, 0, 0, 2, 0, 0, 0x50, 1164855, 1
133117, 07/03/2014 11:22:14 PM, 3.360, 3.190, 3.274, 3.434, 3.368, 3.390, 3.346, 3.429, -0.057, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.791, 3.354, -264.350, 0, 0, 0, 0, 0, 0x50, 1221555, 1
325487, 07/06/2014 04:13:05 AM, 3.368, 3.197, 3.294, 3.441, 3.380, 3.409, 3.367, 3.439, -0.054, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.895, 3.362, -273.150, 0, 0, 2, 0, 0, 0x50, 1411830, 1
363706, 07/06/2014 02:43:03 PM, 3.366, 3.194, 3.293, 3.442, 3.381, 3.410, 3.368, 3.440, -0.055, 0, 3, 3.033, 4.429, 0.000, 0.002, 26.894, 3.360, -273.150, 0, 0, 2, 0, 0, 0x50, 1449633, 1
400667, 07/07/2014 12:52:16 AM, 3.364, 3.192, 3.294, 3.443, 3.381, 3.411, 3.369, 3.443, -0.056, 0, 3, 3.033, 4.429, 0.000, 0.001, 26.897, 3.358, -273.250, 0, 0, 2, 0, 0, 0x50, 1486189, 1
